,surgery,age,hospital_number,rectal_temperature,pulse,respiratory_rate,extremity_temperature,peripheral_pulse,mucous_membranes,capillary_refill_time,pain_level,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdominocentesis_total_protein,outcome,surgical_lesion,lesion_site,lesion_type,lesion_subtype,cp_data
219,Surgery,Adult horse,529736,38.0,52,28,3,Reduced,Pale cyanotic,< 3 seconds,Intermittent mild pain,Absent,Moderate,Slight,None,2.0,Absent,Distended small intestine,37.0,8.1,Cloudy,2.0,Lived,Yes,2111,0,0,No pathology data
220,Surgery,Adult horse,535029,39.2,88,58,4,Absent,Normal pink,>= 3 seconds,Continuous severe pain,Absent,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Was euthanized,No,3205,0,0,No pathology data
221,Surgery,Adult horse,535031,38.5,92,40,4,Reduced,Normal pink,< 3 seconds,Depressed,Absent,Moderate,Slight,None,2.0,Absent,Distended large intestine,46.0,67.0,Cloudy,2.0,Lived,Yes,2208,0,0,No pathology data
222,Surgery,Adult horse,528800,38.0,112,13,4,Absent,Pale cyanotic,< 3 seconds,Depressed,Hypomotile,None,Slight,None,4.5,Absent,Distended small intestine,60.0,6.3,Serosanguinous,2.0,Lived,Yes,2205,0,0,Pathology data present
223,Surgery,Adult horse,528178,37.7,66,12,1,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,Slight,None,2.0,Absent,Distended small intestine,31.5,6.2,Cloudy,1.6,Lived,Yes,2208,0,0,Pathology data present
224,Surgery,Adult horse,535392,38.8,50,14,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypermotile,None,None,None,2.0,Decreased,Distended large intestine,38.0,58.0,Cloudy,2.0,Lived,Yes,3111,0,0,No pathology data
225,No surgery,Adult horse,528931,38.4,54,24,1,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypomotile,None,Slight,None,2.0,Decreased,Other,49.0,7.2,Clear,8.0,Lived,No,3111,0,0,Pathology data present
226,Surgery,Adult horse,528503,39.2,120,20,4,Reduced,Bright red / injected,>= 3 seconds,Depressed,Hypomotile,Moderate,None,< 1 liter,2.0,Absent,Distended small intestine,60.0,8.8,Serosanguinous,2.0,Died,Yes,2205,0,0,No pathology data
227,Surgery,Young,5289419,38.0,48,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,45.0,6.5,Cloudy,2.0,Lived,Yes,9000,0,0,Pathology data present
228,Surgery,Adult horse,535196,37.3,90,40,3,Normal,Dark cyanotic,>= 3 seconds,Continuous severe pain,Absent,Moderate,Slight,> 1 liter,2.0,Normal,Distended large intestine,65.0,50.0,Serosanguinous,2.0,Was euthanized,Yes,3205,0,0,No pathology data
229,Surgery,Young,534597,38.5,120,70,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypermotile,None,Slight,None,2.0,Normal,Distended large intestine,35.0,54.0,Clear,1.0,Lived,Yes,4205,3111,2209,No pathology data
230,Surgery,Adult horse,534280,38.5,104,40,3,Reduced,Normal pink,< 3 seconds,Intermittent severe pain,Hypomotile,Severe,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Lived,Yes,2124,0,0,No pathology data
231,No surgery,Adult horse,530028,39.5,92,28,3,Reduced,Dark cyanotic,< 3 seconds,Continuous severe pain,Absent,None,Slight,< 1 liter,2.0,Absent,Distended large intestine,72.0,6.4,Cloudy,3.6,Died,No,3300,0,0,No pathology data
232,Surgery,Adult horse,5262543,38.5,30,18,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,7.7,Cloudy,2.0,Lived,Yes,2113,0,0,No pathology data
233,Surgery,Adult horse,530526,38.3,72,30,4,Reduced,Pale pink,>= 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Slight,None,2.0,Decreased,Distended large intestine,43.0,7.0,Cloudy,3.9,Lived,Yes,3113,0,0,Pathology data present
234,No surgery,Adult horse,528729,37.5,48,30,4,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Normal,None,None,None,2.0,Normal,Normal,48.0,8.6,Cloudy,2.0,Lived,No,400,0,0,No pathology data
235,Surgery,Adult horse,528469,38.1,52,24,1,Normal,Bright red / injected,< 3 seconds,Intermittent severe pain,Hypomotile,None,Slight,< 1 liter,7.0,Normal,Distended large intestine,54.0,7.5,Cloudy,2.6,Died,Yes,2206,0,0,Pathology data present
236,No surgery,Adult horse,528179,38.2,42,26,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypermotile,Slight,Slight,None,2.0,Normal,Distended large intestine,36.0,6.9,Cloudy,2.0,Lived,No,3111,0,0,No pathology data
237,No surgery,Adult horse,533750,37.9,54,42,2,Normal,Bright red / injected,< 3 seconds,Intermittent mild pain,Hypermotile,None,Slight,None,2.0,Absent,Other,47.0,54.0,Serosanguinous,1.0,Lived,No,0,0,0,No pathology data
238,No surgery,Adult horse,528702,36.1,88,20,3,Reduced,Pale pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,Slight,< 1 liter,2.0,Absent,Distended small intestine,45.0,7.0,Serosanguinous,4.8,Was euthanized,Yes,2209,0,0,Pathology data present
239,Surgery,Adult horse,534183,38.1,70,22,3,Normal,Normal pink,< 3 seconds,Continuous severe pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,36.0,65.0,Cloudy,2.0,Was euthanized,Yes,3205,0,0,No pathology data
240,Surgery,Adult horse,529160,38.0,90,30,4,Reduced,Pale cyanotic,>= 3 seconds,Continuous severe pain,Absent,Severe,Slight,None,2.0,Absent,Distended large intestine,55.0,6.1,Cloudy,2.0,Died,Yes,3205,0,0,No pathology data
241,Surgery,Adult horse,529045,38.2,52,16,1,Normal,Bright pink,< 3 seconds,"Alert, no pain",Normal,None,None,None,2.0,Normal,Distended large intestine,43.0,8.1,Cloudy,2.0,Lived,No,0,0,0,Pathology data present
242,Surgery,Adult horse,530354,38.0,36,32,1,Normal,Pale cyanotic,< 3 seconds,Continuous severe pain,Hypomotile,Moderate,Slight,< 1 liter,4.0,Absent,Distended small intestine,41.0,5.9,Cloudy,2.0,Died,Yes,2205,0,0,No pathology data
243,Surgery,Adult horse,5281091,38.4,92,20,1,Normal,Normal pink,>= 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Slight,None,2.0,Normal,Distended large intestine,40.0,6.5,Cloudy,2.0,Lived,Yes,2208,0,0,Pathology data present
244,Surgery,Young,5291409,38.2,124,88,1,Reduced,Bright pink,< 3 seconds,Depressed,Hypomotile,Severe,Slight,None,2.0,Absent,Distended large intestine,47.0,8.0,Clear,2.0,Lived,Yes,9400,0,0,Pathology data present
245,No surgery,Adult horse,528904,38.0,96,20,3,Reduced,Pale pink,>= 3 seconds,Continuous severe pain,Absent,Severe,Slight,None,2.0,Absent,Distended large intestine,60.0,6.5,Cloudy,2.0,Died,Yes,41110,0,0,No pathology data
246,Surgery,Adult horse,530366,37.6,68,32,3,Normal,Pale pink,< 3 seconds,Intermittent severe pain,Normal,Severe,Slight,> 1 liter,6.5,Normal,Distended large intestine,47.0,7.2,Clear,2.0,Lived,Yes,3209,0,0,No pathology data
247,Surgery,Adult horse,530170,38.1,88,24,3,Reduced,Pale cyanotic,< 3 seconds,Continuous severe pain,Absent,Moderate,Slight,None,2.0,Decreased,Distended small intestine,41.0,4.6,Cloudy,2.0,Died,Yes,2209,0,0,No pathology data
248,Surgery,Adult horse,527709,38.0,108,60,2,Reduced,Pale cyanotic,< 3 seconds,Intermittent severe pain,Hypomotile,Moderate,Slight,None,2.0,Decreased,Distended small intestine,40.0,6.5,Serosanguinous,2.0,Lived,Yes,2205,0,0,No pathology data
249,No surgery,Adult horse,528169,38.2,48,20,2,Normal,Normal pink,>= 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Other,34.0,6.6,Cloudy,2.0,Lived,No,3111,0,0,No pathology data
250,Surgery,Adult horse,535043,39.3,100,51,4,Absent,Dark cyanotic,< 3 seconds,Depressed,Absent,None,None,< 1 liter,2.0,Absent,Distended small intestine,66.0,13.0,Serosanguinous,2.0,Was euthanized,Yes,2113,0,0,No pathology data
251,No surgery,Adult horse,527940,36.6,42,18,3,Reduced,Bright pink,< 3 seconds,"Alert, no pain",Absent,None,None,None,2.0,Absent,Distended large intestine,52.0,7.1,Cloudy,2.0,Died,Yes,5111,0,0,No pathology data
252,Surgery,Young,5291719,38.8,124,36,3,Normal,Bright pink,< 3 seconds,Depressed,Hypomotile,Severe,None,None,2.0,Absent,Distended small intestine,50.0,7.6,Serosanguinous,2.0,Died,Yes,2208,0,0,Pathology data present
253,No surgery,Adult horse,530561,38.0,112,24,3,Reduced,Pale cyanotic,>= 3 seconds,Continuous severe pain,Absent,Slight,Slight,None,2.0,Absent,Distended large intestine,40.0,5.3,Serosanguinous,2.6,Lived,No,400,0,0,Pathology data present
254,Surgery,Adult horse,533738,38.0,80,20,3,Reduced,Pale pink,< 3 seconds,Intermittent severe pain,Absent,Severe,Slight,None,2.0,Absent,Distended large intestine,43.0,70.0,Cloudy,2.0,Lived,Yes,3111,0,0,No pathology data
255,Surgery,Young,5294539,38.8,184,84,1,Normal,Normal pink,< 3 seconds,Intermittent severe pain,Hypermotile,Moderate,Slight,None,2.0,Increased,Distended large intestine,33.0,3.3,Cloudy,2.0,Died,Yes,7111,0,0,No pathology data
256,Surgery,Adult horse,533871,37.5,72,20,2,Normal,Normal pink,< 3 seconds,Depressed,Hypermotile,None,None,None,2.0,Normal,Distended large intestine,35.0,65.0,Cloudy,2.0,Was euthanized,Yes,7209,0,0,No pathology data
257,Surgery,Adult horse,529812,38.7,96,28,3,Reduced,Pale cyanotic,< 3 seconds,Intermittent mild pain,Absent,None,Slight,< 1 liter,7.5,Absent,Distended large intestine,64.0,9.0,Cloudy,2.0,Died,Yes,2205,0,0,Pathology data present
258,No surgery,Adult horse,534719,37.5,52,12,1,Normal,Normal pink,< 3 seconds,Depressed,Hypomotile,Slight,Slight,None,2.0,Decreased,Distended large intestine,36.0,61.0,Clear,1.0,Lived,No,0,0,0,No pathology data
259,Surgery,Adult horse,527734,40.8,72,42,3,Reduced,Normal pink,< 3 seconds,Depressed,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,54.0,7.4,Serosanguinous,2.0,Died,Yes,11400,0,0,Pathology data present
260,No surgery,Adult horse,534933,38.0,40,25,3,Normal,Normal pink,< 3 seconds,Intermittent severe pain,Hypomotile,Slight,None,None,2.0,Absent,Distended large intestine,37.0,69.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
261,No surgery,Adult horse,529296,38.4,48,16,2,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypomotile,Slight,Slight,None,2.0,Absent,Other,39.0,6.5,Cloudy,2.0,Lived,No,3111,0,0,Pathology data present
262,No surgery,Young,5305629,38.6,88,28,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,35.0,5.9,Cloudy,2.0,Lived,No,0,0,0,No pathology data
263,Surgery,Adult horse,528743,37.1,75,36,3,Normal,Pale pink,>= 3 seconds,Intermittent severe pain,Absent,Slight,Slight,< 1 liter,5.0,Absent,Distended small intestine,48.0,7.4,Serosanguinous,3.2,Died,Yes,12208,0,0,Pathology data present
264,Surgery,Adult horse,530478,38.3,44,21,3,Normal,Bright pink,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Slight,None,2.0,Normal,Distended large intestine,44.0,6.5,Cloudy,4.4,Lived,Yes,2209,0,0,Pathology data present
265,No surgery,Adult horse,528590,38.0,56,68,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Normal,Distended large intestine,40.0,6.0,Cloudy,2.0,Was euthanized,Yes,5206,0,0,No pathology data
266,No surgery,Adult horse,529865,38.6,68,20,2,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,None,None,2.0,Normal,Distended large intestine,38.0,6.5,Clear,2.0,Lived,No,5124,0,0,Pathology data present
267,No surgery,Adult horse,527829,38.3,54,18,3,Normal,Bright pink,< 3 seconds,Depressed,Hypomotile,Slight,Slight,< 1 liter,5.4,Absent,Distended small intestine,44.0,7.2,Serosanguinous,2.0,Lived,No,2124,0,0,Pathology data present
268,Surgery,Adult horse,534403,38.2,42,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Decreased,Distended large intestine,47.0,60.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
269,Surgery,Adult horse,527883,39.3,64,90,2,Reduced,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,None,> 1 liter,6.5,Normal,Distended large intestine,39.0,6.7,Cloudy,2.0,Lived,Yes,31110,0,0,No pathology data
270,Surgery,Adult horse,528570,37.5,60,50,3,Reduced,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,Slight,> 1 liter,3.5,Decreased,Distended small intestine,35.0,6.5,Cloudy,2.0,Died,Yes,2209,0,0,No pathology data
271,Surgery,Adult horse,534626,37.7,80,20,3,Reduced,Dark cyanotic,< 3 seconds,Continuous severe pain,Absent,None,Slight,< 1 liter,2.0,Decreased,Normal,50.0,55.0,Serosanguinous,2.0,Lived,Yes,4206,0,0,No pathology data
272,Surgery,Adult horse,529796,38.0,100,30,3,Reduced,Pale cyanotic,>= 3 seconds,Continuous severe pain,Absent,Severe,Significant,< 1 liter,2.0,Absent,Distended small intestine,52.0,6.6,Cloudy,2.0,Lived,Yes,2124,0,0,No pathology data
273,Surgery,Adult horse,528638,37.7,120,28,3,Reduced,Pale pink,< 3 seconds,Continuous severe pain,Hypomotile,Moderate,None,None,2.0,Absent,Distended large intestine,65.0,7.0,Serosanguinous,2.0,Died,Yes,4205,0,0,Pathology data present
274,Surgery,Adult horse,534624,38.0,76,20,3,Reduced,Normal pink,< 3 seconds,Intermittent mild pain,Absent,Severe,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Was euthanized,Yes,11124,0,0,No pathology data
275,Surgery,Young,5297159,38.8,150,50,1,Reduced,Dark cyanotic,>= 3 seconds,Continuous severe pain,Hypomotile,Slight,None,None,2.0,Absent,Distended large intestine,50.0,6.2,Cloudy,2.0,Died,Yes,4207,0,0,No pathology data
276,Surgery,Adult horse,534787,38.0,36,16,3,Normal,Normal pink,< 3 seconds,Intermittent severe pain,Normal,Slight,Significant,< 1 liter,2.0,Decreased,Distended large intestine,37.0,75.0,Cloudy,1.0,Was euthanized,No,3111,0,0,No pathology data
277,No surgery,Adult horse,528620,36.9,50,40,2,Reduced,Pale pink,< 3 seconds,"Alert, no pain",Hypomotile,Slight,Significant,None,7.0,Absent,Distended large intestine,37.5,6.5,Cloudy,2.0,Lived,No,3111,0,0,No pathology data
278,No surgery,Adult horse,528019,37.8,40,16,1,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypermotile,None,Slight,None,2.0,Normal,Normal,37.0,6.8,Cloudy,2.0,Lived,No,0,0,0,No pathology data
279,No surgery,Adult horse,529172,38.2,56,40,4,Reduced,Normal pink,< 3 seconds,Depressed,Absent,Moderate,Slight,> 1 liter,7.5,Absent,Distended large intestine,47.0,7.2,Clear,2.5,Lived,No,8300,0,0,Pathology data present
280,Surgery,Adult horse,534644,38.6,48,12,3,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypermotile,None,Slight,None,2.0,Absent,Distended large intestine,36.0,67.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
281,No surgery,Adult horse,530624,40.0,78,20,3,Reduced,Bright red / injected,< 3 seconds,Depressed,Hypomotile,None,None,None,2.0,Absent,Normal,66.0,6.5,Cloudy,2.0,Died,Yes,8400,0,0,Pathology data present
282,Surgery,Adult horse,527544,38.0,70,16,3,Absent,Bright red / injected,>= 3 seconds,Depressed,Hypomotile,Slight,Slight,None,2.0,Absent,Distended large intestine,60.0,7.5,Cloudy,2.0,Died,Yes,1400,0,0,No pathology data
283,Surgery,Adult horse,527758,38.2,72,18,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,35.0,6.4,Cloudy,2.0,Lived,Yes,3124,0,0,No pathology data
284,No surgery,Adult horse,530439,38.5,54,20,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypermotile,None,Slight,None,2.0,Normal,Distended large intestine,40.0,6.8,Cloudy,7.0,Lived,No,0,0,0,Pathology data present
285,Surgery,Adult horse,5283431,38.5,66,24,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.7,Clear,2.0,Lived,Yes,31110,0,0,Pathology data present
286,No surgery,Adult horse,5275212,37.8,82,12,3,Normal,Normal pink,>= 3 seconds,Intermittent severe pain,Hypomotile,Moderate,None,< 1 liter,2.0,Absent,Distended large intestine,50.0,7.0,Cloudy,2.0,Was euthanized,Yes,2205,0,0,No pathology data
287,No surgery,Young,5305129,39.5,84,30,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,28.0,5.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
288,Surgery,Adult horse,529428,38.0,48,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Lived,Yes,2124,0,0,No pathology data
289,Surgery,Adult horse,529126,38.0,50,36,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Normal,Slight,Slight,None,2.0,Decreased,Distended large intestine,39.0,6.6,Clear,5.3,Lived,Yes,8400,0,0,Pathology data present
290,No surgery,Adult horse,535054,38.6,45,16,2,Normal,Bright pink,< 3 seconds,"Alert, no pain",Hypermotile,None,Slight,None,2.0,Normal,Normal,43.0,58.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
291,Surgery,Adult horse,528890,38.9,80,44,3,Reduced,Pale pink,< 3 seconds,Depressed,Hypomotile,Moderate,Slight,> 1 liter,7.0,Decreased,Normal,54.0,6.5,Serosanguinous,2.0,Died,Yes,7111,0,0,No pathology data
292,Surgery,Adult horse,530034,37.0,66,20,1,Reduced,Bright pink,< 3 seconds,Intermittent severe pain,Hypomotile,Moderate,None,None,2.0,Normal,Distended large intestine,35.0,6.9,Cloudy,2.0,Died,Yes,31110,0,0,No pathology data
293,Surgery,Adult horse,534004,38.0,78,24,3,Reduced,Pale pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended small intestine,43.0,62.0,Cloudy,2.0,Was euthanized,No,2209,0,0,No pathology data
294,No surgery,Adult horse,533902,38.5,40,16,1,Normal,Normal pink,< 3 seconds,Depressed,Hypermotile,None,Slight,None,2.0,Decreased,Other,37.0,67.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
295,Surgery,Adult horse,533886,38.0,120,70,4,Normal,Pale cyanotic,>= 3 seconds,Depressed,Absent,None,Slight,None,2.0,Absent,Distended large intestine,55.0,65.0,Cloudy,2.0,Was euthanized,No,3205,0,0,No pathology data
296,No surgery,Adult horse,527702,37.2,72,24,3,Increased,Pale cyanotic,>= 3 seconds,Intermittent severe pain,Hypomotile,Moderate,Significant,None,2.0,Absent,Distended small intestine,44.0,6.5,Serosanguinous,3.3,Was euthanized,Yes,2208,0,0,Pathology data present
297,Surgery,Adult horse,529386,37.5,72,30,4,Reduced,Pale cyanotic,< 3 seconds,Intermittent severe pain,Absent,Moderate,Slight,None,2.0,Decreased,Distended large intestine,60.0,6.8,Cloudy,2.0,Died,Yes,3205,0,0,No pathology data
298,Surgery,Adult horse,530612,36.5,100,24,3,Reduced,Pale pink,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Significant,None,2.0,Absent,Distended small intestine,50.0,6.0,Serosanguinous,3.4,Lived,Yes,2208,0,0,Pathology data present
299,Surgery,Adult horse,534618,37.2,40,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Normal,36.0,62.0,Clear,1.0,Was euthanized,No,6112,0,0,No pathology data
